Cliente;Designação;Descrição;Serviço;Banda Contratada;Banda Ativada;OS Ativação;Data OS;Tipo OS;Data Ativação;Estação;Acesso;Endereço;Cidade;UF;CEP;Estação;Acesso;Endereço B;Cidade;UF;CEP;Contato;Telefone Fixo;Telefone Móvel;Email;Valor;Previsão;Status;Último Evento;Observação
25ª CIRCUNSCRIÇÃO DE SERVIÇO MILITAR;CEAC000005;25ª CIRCUNSCRIÇÃO SERV. MILITAR (52ª CT);AC;100;0;0986/2014/DC/4600;23/04/2014;Contrato;06/06/2014;CEFLA0PM004;N/A;PM Aeroporto de Fortaleza;;;;CEFLA0PM004;Fibra óptica TELEBRAS;Av.Luciano Carneiro, 840, Bairro de Fátima- dentro da 52ª CT (Centro de Telemática);;;60411-134;Capitão Ribamar;(85) 3403-7405;;ribamar@52ct.eb.mil.br;R$ 18.913,61 ;00/00/0000;desativado;desativado;07/06/2016 - Recebido OS de desativação no dia 02/06/2016, com retroativo para 17/04/2016 devido ao fim da vigência contratual.
A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;MABL000007;AC VERA-IMPERATRIZ;BL;2000;2000;00274/2013/DC/4600;17/06/2013;Contrato;03/07/2013;MAITZ0PP001;N/A;PoP Imperatriz;Imperatriz;MA;0;MAITZ0PP001;Fibra óptica Cliente;Caixa R2 do POP  - Imperatriz-MA;Imperatriz;MA;1;Arlindo Carlos Veras Filho;(99) 3075-8536;(99) 8173-0990;netline@netlinebr.com;R$ 84.560,00 ;00/00/0000;operação;upgrade;"24/03/2016 - Ampliação realizada de 1 para 2 Gbps
23/03/2016 - Configuração para 24/03/2016.	
21/03/2016 - Aguardando projeto lógico pela GERT.
17/03/2016 - Aguardando projeto lógico pela GERT.
14/03/2016 - Aguardando confirmação das fusões do cliente.
07/03/2016 - Aguardando fusões do cliente, agendado para 10/03.
04/03/2016 - Agendado para o cliente realizar fusão em novo par de FO para 10/03 (aberta RDM e ocorrência)
03/03/2016 - Encaminhada a demanda para a engenharia.
18/02/2016 - Ampliação de 1000 para 2000 Mbps não executada.  A interface física  para o cliente tem apenas 1Gbps. Será necessário no mínimo um port-channel com duas interfaces 1Gbps. "
A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;MABL000049;AC VERA-GRAJAÚ;BL;100;0;0153/2016/DC/4600;29/02/2016;Contrato;;desconhecido;N/A;;;;;desconhecido;Fibra óptica Cliente;Rod. MA-006. km 3;;;65.912-260;Arlindo Carlos Vera Filho;(99) 3075-8536;(99) 9 8173-0990;nwtinternet@hotmail.com;R$ 6.986,00 ;21/03/2016;instalação;pend. cliente;"07/06/2016 - Aguardando projeto de abordagem cliente desde 01/03.
31/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
24/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
11/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
03/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
26/04/2016 - Aguardando projeto de abordagem cliente desde 01/03.
19/04/2016 - Aguardando projeto de abordagem cliente.
12/04/2016 - Aguardando projeto de abordagem cliente.
05/04/2016 - Aguardando projeto de abordagem cliente.
29/03/2016 - Aguardando projeto de abordagem cliente.
21/03/2016 - Aguardando projeto de abordagem cliente.
15/03/2016 - Aguardando projeto de abordagem cliente. 
07/03/2016 - Aguardando projeto de abordagem cliente. 
01/03/2016 - Aguardando projeto de abordagem cliente."
A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;MABL000050;AC VERA-SÍTIO NOVO;BL;100;100;0152/2016/DC/4600;29/02/2016;Contrato;07/06/2016;desconhecido;N/A;;;;;desconhecido;Fibra óptica Cliente;Rod. MA-280, km 3, Sitio Novo, Sapucaia;;;65925-000;Arlindo Carlos Vera Filho;(99) 3075-8536;(99) 9 8173-0990;nwtinternet@hotmail.com;R$ 6.986,00 ;21/03/2016;operação;ativado;07/06/2016 - Cliente ativado.
A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;PABL000028;AC VERA-MARABÁ;BL;100;0;0154/2016/DC/4600;29/02/2016;Contrato;;desconhecido;N/A;;;;;desconhecido;Fibra óptica Cliente;4º BPM  CIOP Marabá    Rod, Transamazônica, km 4;;;68507-000;Arlindo Carlos Vera Filho;(99) 3075-8536;(99) 9 8173-0990;nwtinternet@hotmail.com;R$ 5.041,00 ;21/03/2016;instalação;pend. cliente;"07/06/2016 - Aguardando projeto de abordagem cliente desde 01/03.
31/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
24/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
11/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
03/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
26/04/2016 - Aguardando projeto de abordagem cliente desde 01/03.
19/04/2016 - Aguardando projeto de abordagem cliente.
12/04/2016 - Aguardando projeto de abordagem cliente.
05/04/2016 - Aguardando projeto de abordagem cliente.
29/03/2016 - Aguardando projeto de abordagem cliente.
21/03/2016 - Aguardando projeto de abordagem cliente.
15/03/2016 - Aguardando projeto de abordagem cliente.
07/03/2016 - Aguardando projeto de abordagem cliente.
01/03/2016 - Aguardando projeto de abordagem em FO cliente."
A. J. FRIEDRICH COMÉRCIO EIRELI - ME;TOBL000036;AJ FRIEDRICH;BL;200;0;OS - 01453/2014/DC/4600;18/12/2014;Contrato;;TOARN0PP001;Rádio Cliente;Rod. TO-222, KM 12, s/n, Zona Rural, Fazenda São Luiz, Estrada Muricilândia;Araguaina;TO;;desconhecido;Rádio Cliente;;;;;Luiz Coelho;(94) 3358-1194;(94) 9194-0305; luiz.coelho@coelhotecnologia.com.br;R$ 28.114,00 ;00/00/0000;cancelado;cancelado;26/05 - Recebido OS de cancelamento. Solicitado desconfiguração do circuito, liberação dos filtros BGP e retirada do rádio do cliente do PoP de Araguaína
ABC WIFI TELECOM LTDA - ME;AMBL000003;ABC WIFI;BL;300;300;01238/2014/DC/4600;11/09/2014;Contrato;12/05/2015;AMMNS0PM007;N/A;POP metropolitano Prodam - AM;Manaus;AM;;desconhecido;Fibra óptica Cliente;Cliente buscar o link na caixa R2 no POP metropolitano Prodam - AM;;;;Wilson Biancalana;(12) 98200-2470;(12) 99208-5878;infra@abcwifi.com.br;R$ 14.102,00 ;00/00/0000;operação;mudança de configuração;23/11 -  Mudança de Configuração - Cliente irá desativar o circuito quando for ativado o circuito de transporte AML2000002
ABC WIFI TELECOM LTDA - ME;AMP2000002;ABC WIFI - MANAUS-BRASÍLIA;P2;2000;0;2053/2015/DC/4600;17/12/2015;Contrato;;AMMNS0PM007;Fibra óptica Cliente;DTC PRODAM;Manaus;AM;;DFBSA0PP001;Cabo Interno Cliente;POP DE BRASILIA;Brasília;DF;;Wilson Biancalana;(11) 9 7178-2164;(12) 9 9208-5878;infra@abctelecom.net.br;R$ 35.000,00 ;20/01/2016;instalação;pend. cliente;07/06/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper. Em reagendamento de fusões e jumpers na ponta de Manaus.
ABC WIFI TELECOM LTDA - ME;DFBL000022;ABC WIFI;BL;1000;0;0262/2016/DC/4600;11/05/2016;Contrato;;DFBSA0PP001;Fibra óptica Cliente;POP Brasilia GERAL;Brasília;DF;;DFBSA0PP004;Fibra óptica Cliente;;Brasília;DF;;Wilson Biancalana;(12) 98200-2470;(12) 99208-5878;infra@abctelecom.net.br;R$ 35.000,00 ;01/06/2016;instalação;pend. cliente;"07/06/2016 - Aguardando PROA cliente desde 17/05.
31/05/2016 - Aguardando PROA cliente desde 17/05.
24/05/2016 - Recebido OS retificada, solicitado PROA cliente."
AGENCIA BRASILEIRA DE INTELIGENCIA-ABIN/GSI/PR;DFAC000056;ABIN BSA;AC;100;0;0132/2016/DC/4600;22/02/2016;Contrato;;desconhecido;N/A;;;;;desconhecido;Fibra óptica TELEBRAS;SPSA  Área 5 Q. 01 Bl. V;;;;Rodrigo Teperino;(61) 3445-8575;(61) 9674-1179;rodrigoteperino@abin.gov.br;R$ 37.179,17 ;30/04/2016;instalação;pend. comercial;"31/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
25/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
11/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
02/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
26/04/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
18/04/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso). 
11/04/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso)."
