Designação;Evento;Data Recebimento;Data Execução;Banda;Número OS;Ocorrência;Observação
CEAC000005;mudança de configuração;27/04/2015;02/06/2016;100;;7276;"02/06/2016 - Atividade cancelada. Recebida OS de Desativação de Circuito.

27/04 - Agendado alteração de Bloco IP da Telebras junto ao cliente para o dia 29/04 - 12:00

De:177.15.72.144/28
Para:  177.88.136.0/28

Os IPs de ponto a ponto foram mantidos"
CEAC000005;ativado;23/04/2014;06/06/2014;100;;;
CEAC000005;desativado;02/06/2016;17/04/2016;0;0460/2016/DC/4600;19304;07/06/2016 - Recebido OS de desativação no dia 02/06/2016, com retroativo para 17/04/2016 devido ao fim da vigência contratual.
CEAC000005;pend. implantação;17/04/2014;23/04/2014;0;;;17/04 - OS e VT encaminhadas a implantação.
MABL000007;downgrade;06/06/2014;01/07/2014;140;01131/2014/DC/4600;;
MABL000007;upgrade;02/03/2015;02/03/2015;300;01560/2015/DC/4600;6782;
MABL000007;upgrade;01/06/2015;03/06/2015;1000;01713/2015/DC/4600;8739;
MABL000007;ativado;17/06/2013;03/07/2013;20;00274/2013/DC/4600;;
MABL000007;upgrade;01/07/2014;03/07/2014;160;01138/2014/DC/4600;;
MABL000007;upgrade;04/03/2015;04/03/2015;400;01565/2015/DC/4600;6840;
MABL000007;upgrade;29/04/2015;04/05/2015;700;01660/2015/DC/4600;8067;
MABL000007;upgrade;03/07/2013;05/08/2013;40;00660/2013/DC/4600;;
MABL000007;downgrade;23/09/2014;06/02/2015;100;01535/2014/DC/4600;6289;
MABL000007;upgrade;30/04/2014;06/06/2014;180;01106/2014/DC/4600;;
MABL000007;upgrade;05/08/2013;08/10/2013;100;724/2013/DC/4600;;
MABL000007;upgrade;21/07/2014;15/08/2014;200;01258/2014/DC/4600;;
MABL000007;em ativação;20/05/2013;17/06/2013;0;;;
MABL000007;bloqueado;18/09/2015;18/09/2015;0;;11330;18/09 - Bloqueado a pedido da área de arrecadação.
MABL000007;desbloqueado;18/09/2015;18/09/2015;1000;;11356;18/09 - Desbloqueado a pedido da área de arrecadação.
MABL000007;upgrade;15/08/2014;19/09/2014;220;01319/2014/DC/4600;;
MABL000007;upgrade;31/01/2014;20/03/2014;140;00928/2014/DC/4600;;
