Cliente;Regional;Designação;Descrição;Serviço;Banda Contratada;Banda Ativada;OS Ativação;Data OS;Tipo OS;Data Ativação;Contrato;Aditivo;Estação Ponta A;Estação Ponta B;Valor;Previsão;Status;Último Evento;Observação
25ª CIRCUNSCRIÇÃO DE SERVIÇO MILITAR;Governo;CEAC000005;25ª CIRCUNSCRIÇÃO SERV. MILITAR (52ª CT);AC;100;0;0986/2014/DC/4600;23/04/2014;Contrato;06/06/2014;;;CEFLA0PM004;CEFLA0PM004;R$ 18.913,61 ;00/00/0000;desativado;desativado;07/06/2016 - Recebido OS de desativação no dia 02/06/2016, com retroativo para 17/04/2016 devido ao fim da vigência contratual.
A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;Fortaleza;MABL000007;AC VERA-IMPERATRIZ;BL;2000;2000;00274/2013/DC/4600;17/06/2013;Contrato;03/07/2013;4500/045/2013;;MAITZ0PP001;MAITZ0PP001;R$ 84.560,00 ;00/00/0000;operação;upgrade;"24/03/2016 - Ampliação realizada de 1 para 2 Gbps
23/03/2016 - Configuração para 24/03/2016.	
21/03/2016 - Aguardando projeto lógico pela GERT.
17/03/2016 - Aguardando projeto lógico pela GERT.
14/03/2016 - Aguardando confirmação das fusões do cliente.
07/03/2016 - Aguardando fusões do cliente, agendado para 10/03.
04/03/2016 - Agendado para o cliente realizar fusão em novo par de FO para 10/03 (aberta RDM e ocorrência)
03/03/2016 - Encaminhada a demanda para a engenharia.
18/02/2016 - Ampliação de 1000 para 2000 Mbps não executada.  A interface física  para o cliente tem apenas 1Gbps. Será necessário no mínimo um port-channel com duas interfaces 1Gbps. "
A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;Fortaleza;MABL000049;AC VERA-GRAJAÚ;BL;100;0;0153/2016/DC/4600;29/02/2016;Contrato;;4710/007/2016;;desconhecido;desconhecido;R$ 6.986,00 ;21/03/2016;instalação;pend. cliente;"02/08/2016 - Fusão e jumpers agendados para 09/08.
19/07/2016 - Aguardando projeto de abordagem cliente desde 01/03.
11/07/2016 - Aguardando projeto de abordagem cliente desde 01/03.
21/06/2016 - Aguardando projeto de abordagem cliente desde 01/03.
07/06/2016 - Aguardando projeto de abordagem cliente desde 01/03.
31/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
24/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
11/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
03/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
26/04/2016 - Aguardando projeto de abordagem cliente desde 01/03.
19/04/2016 - Aguardando projeto de abordagem cliente.
12/04/2016 - Aguardando projeto de abordagem cliente.
05/04/2016 - Aguardando projeto de abordagem cliente.
29/03/2016 - Aguardando projeto de abordagem cliente.
21/03/2016 - Aguardando projeto de abordagem cliente.
15/03/2016 - Aguardando projeto de abordagem cliente. 
07/03/2016 - Aguardando projeto de abordagem cliente. 
01/03/2016 - Aguardando projeto de abordagem cliente."
A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;Fortaleza;MABL000050;AC VERA-SÍTIO NOVO;BL;100;100;0152/2016/DC/4600;29/02/2016;Contrato;07/06/2016;4710/008/2016;;desconhecido;desconhecido;R$ 6.986,00 ;00/00/0000;operação;ativado;07/06/2016 - Cliente ativado.
A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;Fortaleza;PABL000028;AC VERA-MARABÁ;BL;100;0;0154/2016/DC/4600;29/02/2016;Contrato;;4710/009/2016;;desconhecido;desconhecido;R$ 5.041,00 ;21/03/2016;instalação;pend. cliente;"02/08/2016 - Aguardando projeto de abordagem cliente desde 01/03.
19/07/2016 - Aguardando projeto de abordagem cliente desde 01/03.
21/06/2016 - Aguardando projeto de abordagem cliente desde 01/03.
07/06/2016 - Aguardando projeto de abordagem cliente desde 01/03.
31/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
24/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
11/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
03/05/2016 - Aguardando projeto de abordagem cliente desde 01/03.
26/04/2016 - Aguardando projeto de abordagem cliente desde 01/03.
19/04/2016 - Aguardando projeto de abordagem cliente.
12/04/2016 - Aguardando projeto de abordagem cliente.
05/04/2016 - Aguardando projeto de abordagem cliente.
29/03/2016 - Aguardando projeto de abordagem cliente.
21/03/2016 - Aguardando projeto de abordagem cliente.
15/03/2016 - Aguardando projeto de abordagem cliente.
07/03/2016 - Aguardando projeto de abordagem cliente.
01/03/2016 - Aguardando projeto de abordagem em FO cliente."
A. J. FRIEDRICH COMÉRCIO EIRELI - ME;;TOBL000036;AJ FRIEDRICH;BL;200;0;OS - 01453/2014/DC/4600;18/12/2014;Contrato;;;;TOARN0PP001;desconhecido;R$ 28.114,00 ;00/00/0000;cancelado;cancelado;26/05 - Recebido OS de cancelamento. Solicitado desconfiguração do circuito, liberação dos filtros BGP e retirada do rádio do cliente do PoP de Araguaína
ABC WIFI TELECOM LTDA - ME;Belém;AMBL000003;ABC WIFI;BL;300;0;01238/2014/DC/4600;11/09/2014;Contrato;12/05/2015;4740/029/2014;;AMMNS0PM007;desconhecido;R$ 42.306,00 ;00/00/0000;bloqueado;bloqueado;27/06/2016 - Pedido de bloqueio do cliente.
ABC WIFI TELECOM LTDA - ME;Belém;AMP2000002;ABC WIFI - MANAUS-BRASÍLIA;P2;1000;0;2053/2015/DC/4600;17/12/2015;Contrato;;4730/045/2015;;AMMNS0PM007;DFBSA0PP001;R$ 35.000,00 ;00/00/0000;instalação;pend. implantação;"02/08/2016 - Em ativação, previsto para 05/8.
19/07/2016 - Em ativação, previsto para 30/7.
11/07/2016 - Agendado para 15/07 a atividade na ponta de Manaus."
ABC WIFI TELECOM LTDA - ME;Belém;DFBL000022;ABC WIFI;BL;1000;0;0262/2016/DC/4600;11/05/2016;Contrato;;4730/010/2016;;DFBSA0PP001;DFBSA0PP004;R$ 35.000,00 ;00/00/0000;instalação;pend. cliente;"26/07/2016 - Aguardando PROA cliente desde 17/05.
19/07/2016 - Aguardando PROA cliente desde 17/05.
11/07/2016 - Aguardando PROA cliente desde 17/05.
21/06/2016 - Aguardando PROA cliente desde 17/05.
07/06/2016 - Aguardando PROA cliente desde 17/05.
31/05/2016 - Aguardando PROA cliente desde 17/05.
24/05/2016 - Recebido OS retificada, solicitado PROA cliente."
ABENET PROVEDORA DE ACESSO A INTERNET ME;Brasília;GOBL000042;ABENET;BL;500;0;0556/2016/DC/4600;24/06/2016;Contrato;;4730/016/2016;;GOJTI0PP001;desconhecido;R$ 25.000,00 ;12/07/2016;instalação;pend. implantação;"02/08/2016 - Fusões e jumpers agendados para janela 11/08 - 18/08.
11/07/2016 - Aguardando PROA desde 24/06.
24/06/2016 - Enviadas OS e VTA para Engenharia"
