designacao;cliente;descricao;regional;tipo_servico;banda_contratada;banda_ativada;os_ativacao;data_os;tipo_os;data_ativacao;contrato;aditivo;estacaoA;ufA;estacaoB;ufB;valor;previsao;status;ultimo_evento
CEAC000005;25ª CIRCUNSCRIÇÃO DE SERVIÇO MILITAR;25ª CIRCUNSCRIÇÃO SERV. MILITAR (52ª CT);Governo;AC;100;0;0986/2014/DC/4600;2014-04-23;Contrato;2014-06-06;;;CEFLA0PM004;CE;CEFLA0PM004;CE;18913.61;2016-01-01;desativado;desativado
MABL000007;A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;AC VERA-IMPERATRIZ;Fortaleza;BL;2000;2000;00274/2013/DC/4600;2013-06-17;Contrato;2013-07-03;4500/045/2013;;MAITZ0PP001;MA;MAITZ0PP001;MA;84560.00;2016-01-01;operação;upgrade
MABL000049;A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;AC VERA-GRAJAÚ;Fortaleza;BL;100;0;0153/2016/DC/4600;2016-02-29;Contrato;2016-01-01;4710/007/2016;;;MA;;;6986.00;2016-03-21;instalação;pend. cliente
MABL000050;A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;AC VERA-SÍTIO NOVO;Fortaleza;BL;100;100;0152/2016/DC/4600;2016-02-29;Contrato;2016-06-07;4710/008/2016;;;MA;;;6986.00;2016-03-21;operação;ativado
PABL000028;A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME;AC VERA-MARABÁ;Fortaleza;BL;100;0;0154/2016/DC/4600;2016-02-29;Contrato;2016-01-01;4710/009/2016;;;PA;;;5041.00;2016-03-21;instalação;pend. cliente
TOBL000036;A. J. FRIEDRICH COMÉRCIO EIRELI - ME;AJ FRIEDRICH;;BL;200;0;OS - 01453/2014/DC/4600;2014-12-18;Contrato;2016-01-01;;;TOARN0PP001;TO;;;28114.00;2016-01-01;cancelado;cancelado
AMBL000003;ABC WIFI TELECOM LTDA - ME;ABC WIFI;Belém;BL;300;0;01238/2014/DC/4600;2014-09-11;Contrato;2015-05-12;4740/029/2014;;AMMNS0PM007;AM;;;42306.00;2016-01-01;bloqueado;bloqueado
AMP2000002;ABC WIFI TELECOM LTDA - ME;ABC WIFI - MANAUS-BRASÍLIA;Belém;P2;1000;0;2053/2015/DC/4600;2015-12-17;Contrato;2016-01-01;4730/045/2015;;AMMNS0PM007;AM;DFBSA0PP001;DF;35000.00;2016-01-01;instalação;pend. cliente
DFBL000022;ABC WIFI TELECOM LTDA - ME;ABC WIFI;Belém;BL;1000;0;0262/2016/DC/4600;2016-05-11;Contrato;2016-01-01;4730/010/2016;;DFBSA0PP001;DF;DFBSA0PP004;DF;35000.00;2016-01-01;instalação;pend. cliente
GOBL000042;ABENET PROVEDORA DE ACESSO A INTERNET ME;ABENET;Brasília;BL;500;0;0556/2016/DC/4600;2016-06-24;Contrato;2016-01-01;4730/016/2016;;GOJTI0PP001;GO;;;25000.00;2016-07-12;instalação;pend. implantação
DFAC000056;AGENCIA BRASILEIRA DE INTELIGENCIA-ABIN/GSI/PR;ABIN BSA;Governo;AC;100;0;0132/2016/DC/4600;2016-02-22;Contrato;2016-07-04;00000001/2016;;DFBSA0PP001;DF;;;37179.17;2016-01-01;operação;ativado
RJAC000011;AGENCIA BRASILEIRA DE INTELIGENCIA-ABIN/GSI/PR;ABIN RJO;Governo;AC;20;0;0133/2016/DC/4600;2016-02-22;Contrato;2016-01-01;;;;RJ;;;12976.95;2016-04-30;cancelado;cancelado
ALL3000001;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - MACEIO;;L3;10;0;067/2015/DC/4600;2015-08-11;Oportunidade;2016-01-01;;;;AL;;;4506.62;2015-11-05;cancelado;cancelado
AML3000003;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - MANAUS;;L3;10;0;068/2015/DC/4600;2015-08-11;Oportunidade;2016-01-01;;;;AM;;;4506.62;2015-11-05;cancelado;cancelado
CEL3000001;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - FORTALEZA;;L3;10;0;069/2018/DC/4600;2015-08-11;Oportunidade;2016-01-01;;;;CE;;;4506.62;2015-11-05;cancelado;cancelado
DFAC000044;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - IP BRASILIA;;AC;100;0;066/2015/DC/4600;2015-08-11;Oportunidade;2016-01-01;;;;DF;;;14838.59;2015-11-05;cancelado;cancelado
DFL3000019;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - BRASILIA;;L3;100;0;070/2015/DC/4600;2015-08-11;Oportunidade;2016-01-01;;;;DF;;;10438.66;2015-11-05;cancelado;cancelado
GOL3000003;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - GOIANIA;;L3;10;0;071/2015/DC/4600;2015-08-11;Oportunidade;2016-01-01;;;;GO;;;4506.62;2015-11-05;cancelado;cancelado
MTL3000003;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - CUIABA;;L3;10;0;072/2015/DC/4600;2015-08-11;Oportunidade;2016-01-01;;;;MT;;;4506.62;2015-11-05;cancelado;cancelado
PAL3000002;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - BELEM;;L3;10;0;073/2015/DC/4600;2015-08-11;Oportunidade;2016-01-01;;;;PA;;;4506.62;2015-11-05;cancelado;cancelado
PBL3000002;AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - JOAO PESSOA;;L3;10;0;074/2015/DC/4600;2015-08-11;Oportunidade;2016-01-01;;;;PB;;;4506.62;2015-11-05;cancelado;cancelado
